canonical_id,domain,authority_version,claimed_by_prs,legacy_aliases,traceability_state
ADM-071,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-072,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-073,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-074,Admin,v1,#222,,CLAIMED_BY_ACTIVE_PR
ADM-075,Admin,v1,#222,,CLAIMED_BY_ACTIVE_PR
ADM-076,Admin,v1,#222,,CLAIMED_BY_ACTIVE_PR
ADM-077,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-078,Admin,v1,#224,,CLAIMED_BY_ACTIVE_PR
ADM-079,Admin,v1,#224,,CLAIMED_BY_ACTIVE_PR
ADM-080,Admin,v1,#243,,CLAIMED_BY_ACTIVE_PR
ADM-081,Admin,v1,#243,,CLAIMED_BY_ACTIVE_PR
ADM-082,Admin,v1,#243,,CLAIMED_BY_ACTIVE_PR
ADM-083,Admin,v1,#241,,CLAIMED_BY_ACTIVE_PR
ADM-084,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-085,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-086,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-087,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-088,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-089,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-090,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-091,Admin,v1,#238,,CLAIMED_BY_ACTIVE_PR
ADM-092,Admin,v1,#238,,CLAIMED_BY_ACTIVE_PR
ADM-093,Admin,v1,#238,,CLAIMED_BY_ACTIVE_PR
ADM-094,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-095,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-096,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-097,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-098,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-099,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-100,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-101,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-102,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-103,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-104,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-105,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-106,Admin,v1,#235;#236,,CLAIMED_BY_ACTIVE_PR
ADM-107,Admin,v1,#233;#236,,CLAIMED_BY_ACTIVE_PR
ADM-108,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-109,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-110,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-111,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
ADM-112,Admin,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PAT-083,Patient Mobile,v1,#261,PRELIM-2026-09-18:PAT-001,CLAIMED_BY_ACTIVE_PR
PAT-084,Patient Mobile,v1,#220,,CLAIMED_BY_ACTIVE_PR
PAT-085,Patient Mobile,v1,#220,,CLAIMED_BY_ACTIVE_PR
PAT-086,Patient Mobile,v1,#227;#228,,CLAIMED_BY_ACTIVE_PR
PAT-087,Patient Mobile,v1,#227;#228,,CLAIMED_BY_ACTIVE_PR
PAT-088,Patient Mobile,v1,#227;#228,,CLAIMED_BY_ACTIVE_PR
PAT-089,Patient Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PAT-090,Patient Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PAT-091,Patient Mobile,v1,#227;#228,,CLAIMED_BY_ACTIVE_PR
PAT-092,Patient Mobile,v1,#227;#271,,CLAIMED_BY_ACTIVE_PR
PAT-093,Patient Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PAT-094,Patient Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PAT-095,Patient Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PAT-096,Patient Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PAT-097,Patient Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PAT-098,Patient Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PAT-099,Patient Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PAT-100,Patient Mobile,v1,#227;#228,,CLAIMED_BY_ACTIVE_PR
PAT-101,Patient Mobile,v1,#222,,CLAIMED_BY_ACTIVE_PR
PAT-102,Patient Mobile,v1,#222,,CLAIMED_BY_ACTIVE_PR
PAT-103,Patient Mobile,v1,#222,,CLAIMED_BY_ACTIVE_PR
PAT-104,Patient Mobile,v1,#222,,CLAIMED_BY_ACTIVE_PR
PAT-105,Patient Mobile,v1,#222,,CLAIMED_BY_ACTIVE_PR
PAT-106,Patient Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PAT-107,Patient Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PAT-108,Patient Mobile,v1,#224,,CLAIMED_BY_ACTIVE_PR
PAT-109,Patient Mobile,v1,#224,,CLAIMED_BY_ACTIVE_PR
PAT-110,Patient Mobile,v1,#224,,CLAIMED_BY_ACTIVE_PR
PAT-111,Patient Mobile,v1,#224,,CLAIMED_BY_ACTIVE_PR
PAT-112,Patient Mobile,v1,#224,,CLAIMED_BY_ACTIVE_PR
PAT-113,Patient Mobile,v1,#224,,CLAIMED_BY_ACTIVE_PR
PAT-114,Patient Mobile,v1,#224,,CLAIMED_BY_ACTIVE_PR
PAT-115,Patient Mobile,v1,#224,,CLAIMED_BY_ACTIVE_PR
PAT-116,Patient Mobile,v1,#224,,CLAIMED_BY_ACTIVE_PR
PAT-117,Patient Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PAT-118,Patient Mobile,v1,#224,,CLAIMED_BY_ACTIVE_PR
PAT-119,Patient Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PAT-120,Patient Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PAT-121,Patient Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PAT-122,Patient Mobile,v1,#224;#238,,CLAIMED_BY_ACTIVE_PR
PAT-123,Patient Mobile,v1,#224,,CLAIMED_BY_ACTIVE_PR
PAT-124,Patient Mobile,v1,#243,,CLAIMED_BY_ACTIVE_PR
PAT-125,Patient Mobile,v1,#241,,CLAIMED_BY_ACTIVE_PR
PAT-126,Patient Mobile,v1,#241,,CLAIMED_BY_ACTIVE_PR
PAT-127,Patient Mobile,v1,#241,,CLAIMED_BY_ACTIVE_PR
PAT-128,Patient Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PAT-129,Patient Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PAT-130,Patient Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PAT-131,Patient Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PAT-132,Patient Mobile,v1,#249,,CLAIMED_BY_ACTIVE_PR
PAT-133,Patient Mobile,v1,#245,,CLAIMED_BY_ACTIVE_PR
PAT-134,Patient Mobile,v1,#245,,CLAIMED_BY_ACTIVE_PR
PAT-135,Patient Mobile,v1,#245,,CLAIMED_BY_ACTIVE_PR
PAT-136,Patient Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PAT-137,Patient Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PAT-138,Patient Mobile,v1,#247,,CLAIMED_BY_ACTIVE_PR
PAT-139,Patient Mobile,v1,#247,,CLAIMED_BY_ACTIVE_PR
PAT-140,Patient Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
DOC-053,Doctor Mobile,v1,#228;#230,,CLAIMED_BY_ACTIVE_PR
DOC-054,Doctor Mobile,v1,#228;#230;#274,,CLAIMED_BY_ACTIVE_PR
DOC-055,Doctor Mobile,v1,#228;#230;#275,,CLAIMED_BY_ACTIVE_PR
DOC-056,Doctor Mobile,v1,#228;#230,,CLAIMED_BY_ACTIVE_PR
DOC-057,Doctor Mobile,v1,#222;#230,PRELIM-2026-09-18:DOC-004,CLAIMED_BY_ACTIVE_PR
DOC-058,Doctor Mobile,v1,#222;#230,PRELIM-2026-09-18:DOC-004,CLAIMED_BY_ACTIVE_PR
DOC-059,Doctor Mobile,v1,#224;#230;#265,PRELIM-2026-09-18:DOC-009,CLAIMED_BY_ACTIVE_PR
DOC-060,Doctor Mobile,v1,#224;#230;#279;#283,PRELIM-2026-09-18:DOC-010,CLAIMED_BY_ACTIVE_PR
DOC-061,Doctor Mobile,v1,#281,,CLAIMED_BY_ACTIVE_PR
DOC-062,Doctor Mobile,v1,#227;#228;#230,,CLAIMED_BY_ACTIVE_PR
DOC-063,Doctor Mobile,v1,#227;#228,PRELIM-2026-09-18:DOC-027,CLAIMED_BY_ACTIVE_PR
DOC-064,Doctor Mobile,v1,#227;#228;#271,PRELIM-2026-09-18:DOC-006,CLAIMED_BY_ACTIVE_PR
DOC-065,Doctor Mobile,v1,#227;#228;#275,PRELIM-2026-09-18:DOC-007,CLAIMED_BY_ACTIVE_PR
DOC-066,Doctor Mobile,v1,#227;#228;#274,PRELIM-2026-09-18:DOC-005,CLAIMED_BY_ACTIVE_PR
DOC-067,Doctor Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
